Manufacture Name,Country,Type,Export Shipment Count,Location,Website,Procurement Contacts,Company Phone
DSM Nutritional Products Asia Pacific,Singapore,Supplement - Nutritional,"1,860","Mapletree Business City, Singapore 117440",https://www.dsm-firmenich.com/en/businesses/health-nutrition-care/news/press-releases/archive/dsm/2019/dsm-nutritional-products-appoints-new-leadership-in-asia-pacific.html,,
Mead Johnson Nutrition Asia Pacific Pte Ltd,Singapore,Supplement - Nutritional,65,"#19-01 MBFC Tower 3, Singapore 018982",https://www.meadjohnson.com/,,
Takasago International Singapore Pte Ltd,Singapore,Supplement - Nutritional,22,"5 Sunview Road, Singapore 627616",https://www.takasago.com/en/sustainability/area/report/singapore.html,,
Wyeth Nutritionals Singapore Pte Ltd,Singapore,Milk Powder,22,"No 1 Tuas South Avenue 4, Singapore 637609",https://www.wyethnutrition.com.sg/,,
Glico Asia Pacific Pte Ltd,Singapore,Supplement - Nutritional,10,"138 Market Street, #35-04 Capitagreen, Singapore 048946",https://www.glico.com/sg/,,
Asia Chemical Corporation ACC Pte Ltd,Singapore,Supplement - Nutritional,7,"SBF Center, Singapore 068914",https://www.asia-chemical.com/,,
DSM Singapore Industrial Pte Ltd,Singapore,Supplement - Nutritional,7,"Mapletree Business City, Singapore 117440",https://www.dsm-firmenich.com/en/home.html,,
Adisseo Asia Pacific Pte Ltd,Singapore,Supplement - Nutritional,6,"600 North Bridge Road, #15-06 to 08 Parkview Square, Singapore 188778",https://www.adisseo.com/en/,,
DSM Nutritional Products Asia,Singapore,Supplement - Nutritional,6,"30 Pasir Panjang Road, #13-31 Mapletree Business City, Singapore 117440",https://www.dsm-firmenich.com/en/businesses/health-nutrition-care/news/press-releases/archive/dsm/2019/dsm-nutritional-products-appoints-new-leadership-in-asia-pacific.html,,
Nov Apharma Pte Ltd,Singapore,Supplement - Nutritional,6,"#06-76, Midview City, Singapore 573969",https://www.nov.com/,,
CP Meiji Co Ltd,Thailand,Supplement,2626,2/9 Moo 4 Phaholyothin Rd. Nongnak Nongkae Saraburi 18230 Thailand,https://www.cpmeiji.com/en,,
Betagen Co Ltd,Thailand,Supplement,2499,21/2 Soi Sannibarttedsabarn Chatuchak Bangkok 10900 Thailand,https://www.betagen.co.th/,,
Procter & Gamble Manufacturing,Thailand,Supplement,1516,112 Moo 5 Bangsamak Bangpakong Chachoengsao 24130 Thailand,https://www.pgcareers.com/global/en,,
Procter & Gamble Manufacturing Thailand Ltd,Thailand,Supplement,1316,112 Moo 5 Tambol Bangsamak Amphur Bangpakong Chachoengsao Thailand,https://www.pgcareers.com/global/en,,
Kemin Industries Asia Pte Ltd,Singapore,Supplement,778,"12 Senoko Drive, Singapore 758200",https://www.kemin.com/ap/en/home,,
Performance Labs Pte Ltd,Singapore,Supplement,603,"#21-03/04, Singapore 018961",https://www.performancelabs.sg/,,
Pacific Ng Pte Ltd,Singapore,Supplement,476,"19-08 Prudential Tower, Singapore 049712",http://www.pacificenterprise.com.sg/,,
Evonik Methionine Sea Pte Ltd,Singapore,Supplement,467,"3 International Business Park, #07-18 Nordic European Centre, Singapore 609927",https://www.evonik.com/en/company/worldwide-locations/asia-pacific.html,,
Evershining Ingredient Co Ltd,Thailand,Supplement,374,No 2/156 Soi Bangkhuntain 16 Samaedum Bangkhuntain Bangkok 10150 Thailand,https://www.evershining.co.th/,,
Extra Excellence Manufacturing,Singapore,Supplement,355,"3C Senoko Crescent, Senoko Food Connection, Singapore",https://www.eexcel.com.sg/,,
East Hope Singapore Animal Nutrition Pte Ltd,Singapore,Supplement,330,"25C Senoko Way, Singapore 758061",https://www.dnb.com/business-directory/company-profiles.east_hope_(singapore)_animal_nutrition_pte_ltd.dcefd8fc2306d688c8d0db2810454dba.html,,
Fitwhey Co Ltd,Thailand,Supplement,312,-,https://www.instagram.com/fitwhey_official/?hl=en,,
Becton Dickinson Holdings,Singapore,Supplement,311,"The Strategy, #08-08, Singapore 609930",https://www.bd.com/en-sea,,
Megamart Co Ltd,Thailand,Supplement,299,Klongsamwa Bangkok 10510 Thailand,https://www.matchlink.asia/business/page/Thailand/BANGKOK/33861-megamart-co-ltd.html,,
New Hope Singapore Premix Pte Ltd,Singapore,Supplement,284,"15 Tuas South Street 6, Singapore 636913",https://www.sfma.org.sg/member/info.php?cid=new-hope-singapore-pte-ltd,,
Biomerieux Asia Pacific Pte Ltd,Singapore,Supplement,251,"#10-04 Helios, Singapore 138667",https://www.biomerieux.com/corp/en/biomerieux-local-websites.html,,
Desipro Pte Ltd,Singapore,Supplement,243,"Stadium Boulevard, #02-01, Singapore 397799",https://www.dnb.com/business-directory/company-profiles.desipro_pte_ltd.44d770e3518a8b1ebe3690955d40df04.html,,
Mega Lifesciences Public Co Ltd,Thailand,Supplement,206,384 Soi 6 Bangpoo Industrial Estate Pattana 3rd Moo 4 Phraeksa Mueang Samutprakarn 10280 Thailand,https://www.megawecare.com/,,
Zagro Singapore Pte Ltd,Singapore,Supplement,202,"5 Woodlands Terrace, Singapore 738430",https://www.zagro.com/,,
Perfect Companion Group Co Ltd,Thailand,Supplement,196,169 Moo 16 Bangsaothong Bangsaothong Sub-district Samutprakarn 10570 Thailand,https://www.perfectcompanion.com/,,
NSE Products Inc,Singapore,Supplement,190,"11 Sunview Way, Level 5, Singapore 627540",https://www.nuskin.com/us/en/,,
Trouw Nutrition Thailand Ltd,Thailand,Supplement,186,8 T One Building 19th Floor Unit 3-5 Soi Sukhumvit 40 Sukhumvit Road Phra Khanong Klong Toei Bangkok 10110 Thailand,https://www.trouwnutrition.com/,,
Alltech Biotechnology Corporation Ltd,Thailand,Supplement,164,33/4 The 9th Towers Grand Rama 9 Tower A-19th Floor Rama 9 Road Huaykwang Bangkok 10310 Thailand,https://www.alltech.com/about/locations/thailand,,
Sappe Public Co Ltd,Thailand,Supplement,153,8 Moo 7 Tambon Puedudom Lam Luk Ka Pathum Thani 12150 Thailand,https://www.sappe.com/en/,,
Arden Marketing Pte Ltd,Singapore,Supplement,150,"Block 4004 Depot Lane, #01-11, Singapore 109758",https://www.ardenmktg.com/,,
