Company Name,Country,Company Website,Phone Number,Email Address,Procurement Manager LinkedIn,Procurement Manager Title
﻿Manufacture Name,Country,https://www.cbp.gov/trade/rulings/informed-compliance-publications/marking-country-origin-us-imports,,,,
DSM Nutritional Products Asia Pacific,Singapore,https://www.dsm-firmenich.com/en/businesses/health-nutrition-care/news/press-releases/archive/dsm/2019/dsm-nutritional-products-appoints-new-leadership-in-asia-pacific.html,+41 (61) 815 8888,info.pc-emea@dsm.com.,https://sg.linkedin.com/in/tham-tiem-fatt,
Mead Johnson Nutrition Asia Pacific Pte Ltd,Singapore,https://www.meadjohnson.com/,65) 6692 7800,malmj@reckitt.com,https://sg.linkedin.com/in/gwen-yang-104a1692,
Takasago International Singapore Pte Ltd,Singapore,https://www.takasago.com/en/sustainability/area/report/singapore.html,,sg.mail@tte-net.com.,https://sg.linkedin.com/in/jolene-tan-8b48763,
Wyeth Nutritionals Singapore Pte Ltd,Singapore,https://www.wyethnutrition.com/,65) 6415 2000,adrienne.mcmahon@pfizer.com,https://sg.linkedin.com/in/mohammed-shariff-tan-aab65514,
Glico Asia Pacific Pte Ltd,Singapore,https://www.glico.com/sg/,+62 21 8192989,glico-singapore@glico.com,https://th.linkedin.com/in/kaniknan-luksaneeyanawin,
Asia Chemical Corporation ACC Pte Ltd,Singapore,https://www.asia-chemical.com/,,,https://vn.linkedin.com/in/khai-pham-huy-4448a348,
DSM Singapore Industrial Pte Ltd,Singapore,https://our-company.dsm-firmenich.com/en/our-company.html,+41 (61) 815 8888,info.pc-emea@dsm.com.,https://sg.linkedin.com/in/sally-sia-0564708,
Adisseo Asia Pacific Pte Ltd,Singapore,https://www.adisseo.com/en/contact-us/,8 014 069 764,contact@adisseo.com.,https://sg.linkedin.com/in/rudy-yeo-4a2834160,
DSM Nutritional Products Asia,Singapore,https://www.dsm-firmenich.com/en/businesses/health-nutrition-care/news/press-releases/archive/dsm/2019/dsm-nutritional-products-appoints-new-leadership-in-asia-pacific.html,+41 (61) 815 8888,info.pc-emea@dsm.com.,https://sg.linkedin.com/in/sy-biau-lee-a722461b,
Nov Apharma Pte Ltd,Singapore,https://pmc.ncbi.nlm.nih.gov/articles/PMC6223344/,886 4 2284,sajita.setia@transform-medcomms.com,https://www.linkedin.com/posts/lisafmartin_proud-to-be-recognized-as-an-ai-in-procurement-activity-7209153575552172032-NOBy,
CP Meiji Co Ltd,Thailand,https://www.cpmeiji.com/en/about,03-3281-9026,,https://th.linkedin.com/in/siripong-pruekpatthanarak-110155200,
Betagen Co Ltd,Thailand,https://www.betagen.co.th/foreign,034-287-877,,https://th.linkedin.com/in/naiyana-saenthong,
Procter & Gamble Manufacturing,Thailand,https://us.pg.com/,,,https://sg.linkedin.com/in/kbsunil,
Procter & Gamble Manufacturing Thailand Ltd,Thailand,https://us.pg.com/,,,https://www.linkedin.com/posts/sandrine-rijobert-6326a316_after-25-weeks-in-singapore-thailand-indonesia-activity-7206708899683512320-tXr1,
Kemin Industries Asia Pte Ltd,Singapore,https://www.kemin.com/ap/en/home,+65 8167 7422,kft.asia@kemin.com,https://sg.linkedin.com/jobs/food-procurement-jobs,
Performance Labs Pte Ltd,Singapore,https://sg.linkedin.com/company/performance-labs-pte-ltd,,,https://sg.linkedin.com/in/steven-chan-3128961b,
Pacific Ng Pte Ltd,Singapore,https://pubmed.ncbi.nlm.nih.gov/39586972/,1 800 347 5103,kapop-sg@kyocera.com.sg.,https://sg.linkedin.com/in/sean-yong-hao-ng-80718044,
